Ayel,ESPORTSTMNT03_530266,ITZ,0,6,6,156694,14179,13459,4069,30,13,47,1,20195,11901,265,12,
Shini,ESPORTSTMNT03_530266,ITZ,3,4,2,132501,7163,38300,393,101,31,8487,1,34009,11658,39,146,
Envy,ESPORTSTMNT03_530266,ITZ,0,2,4,194122,9914,18123,1769,58,18,4526,1,18460,12380,285,30,
Absolut,ESPORTSTMNT03_530266,ITZ,4,2,3,189670,29326,12884,3783,32,20,4211,5,12855,15286,298,9,
Ziriguidun,ESPORTSTMNT03_530266,ITZ,0,5,6,18963,2871,18843,258,104,23,12699,5,15443,9372,90,0,
Yang,ESPORTSTMNT03_530266,VK,2,2,8,305258,12566,36678,4462,48,54,2120,1,20939,13707,311,0,
Revolta,ESPORTSTMNT03_530266,VK,3,1,15,131676,9038,30967,13291,130,22,7696,1,26444,12629,39,129,
tockers,ESPORTSTMNT03_530266,VK,9,0,6,264195,30286,5577,36275,43,13,2593,1,11487,16890,336,36,
micaO,ESPORTSTMNT03_530266,VK,5,1,10,193774,20333,16155,19808,68,11,5820,5,12144,15757,303,23,
Jockster,ESPORTSTMNT03_530266,VK,0,3,13,16020,6584,15458,1794,84,41,4190,5,14000,10391,49,0,
Yang,ESPORTSTMNT03_520528,VK,3,0,5,289735,6233,22227,6551,23,26,7266,1,20038,12535,261,8,
Revolta,ESPORTSTMNT03_520528,VK,0,1,10,131731,5688,15974,12096,108,10,8358,1,22103,10456,27,133,
tockers,ESPORTSTMNT03_520528,VK,8,1,4,207102,16691,4011,20385,33,9,1417,2,7885,14867,279,32,
micaO,ESPORTSTMNT03_520528,VK,4,0,3,134782,8266,7453,14525,60,8,2845,5,4639,13175,273,8,
Jockster,ESPORTSTMNT03_520528,VK,0,0,12,45525,7989,22301,2313,57,14,6111,4,14571,10434,123,0,
Ayel,ESPORTSTMNT03_520528,ITZ,0,2,1,143719,13091,7354,1123,27,10,603,1,10253,9485,253,8,
Shini,ESPORTSTMNT03_520528,ITZ,1,4,0,93399,3742,14400,0,89,8,6808,1,23325,7954,28,111,
Envy,ESPORTSTMNT03_520528,ITZ,0,4,1,101077,7098,7280,0,37,5,0,0,10733,8783,219,4,
Absolut,ESPORTSTMNT03_520528,ITZ,1,2,0,131246,8935,9384,0,29,17,2777,3,8388,10217,263,6,
Ziriguidun,ESPORTSTMNT03_520528,ITZ,0,3,0,13568,4058,2344,0,50,13,1403,2,8006,6687,62,1,
Robo,ESPORTSTMNT03_530278,CNB,2,2,4,134253,19153,48022,11841,28,19,13565,1,38395,10712,212,9,
Turtle,ESPORTSTMNT03_530278,CNB,0,2,6,123598,5833,26600,11381,121,14,12348,1,28279,9058,37,115,
Rakin,ESPORTSTMNT03_530278,CNB,1,2,3,170719,23790,2831,589,25,17,1103,2,8397,11307,269,17,
pbO,ESPORTSTMNT03_530278,CNB,6,2,1,146085,24150,14788,9285,41,8,6537,5,14131,12567,254,16,
